ramadan_day_id,hadith_title,hadith
1,1,"عن أمير المؤمنين أبي حفص عمر بن الخطاب رضي الله عنه، قال: سمعت رسول الله صلى الله عليه وسلم يقول: (إنما الأعمالُ بالنيّاتِ، وإنما لكل امرئٍ ما نَوَى، فمنْ كانت هجرتُه إلى اللّه ورسولِه، فهجرتُه إلى اللّه ورسولِه، ومَن كانت هجرتُه لدنيَا يصيبهَا، أو امرأةٍ ينكحُها، فهجرتُه إلى ما هاجرَ إليهِ).

رواه البخاري ومسلم."
2,2,"عن أبي هريرة -رضي الله عنه-: أنّ رسول الله-صلى الله عليه وسلم- قال: ""مَن قَامَ رَمَضَانَ إيمَانًا واحْتِسَابًا، غُفِرَ له ما تَقَدَّمَ مِن ذَنْبِهِ."". 
رواه البخاري ومسلم."
3,3,"عن أبي هريرة -رضي الله عنه- أنّ رسول الله صلى الله عليه وسلم قال:
(حَقُّ المُسْلِمِ علَى المُسْلِمِ خَمْسٌ: رَدُّ السَّلَامِ، وعِيَادَةُ المَرِيضِ، واتِّبَاعُ الجَنَائِزِ، وإجَابَةُ الدَّعْوَةِ، وتَشْمِيتُ العَاطِس.)
متفق عليه"
4,4,"عن أبي سعيدٍ الخدري رضي الله عنه قال: سمعت رسول الله صلى الله عليه وسلم يقول: (مَن رَأَى مِنكُم مُنْكَرًا فَلْيُغَيِّرْهُ بيَدِهِ، فإنْ لَمْ يَسْتَطِعْ فَبِلِسانِهِ، فإنْ لَمْ يَسْتَطِعْ فَبِقَلْبِهِ، وذلكَ أضْعَفُ الإيمانِ.).
رواه مسلم."
5,5,"عن أنس -رضي الله عنه- عن النبي صلى الله عليه وسلم قال:

""لَا يُؤْمِنُ أحَدُكُمْ، حتَّى يُحِبَّ لأخِيهِ ما يُحِبُّ لِنَفْسِهِ.""

رواه البخاري ومسلم."
6,6,"عن أبي هريرة -رضي الله عنه-  قال: قال رسول الله صلى الله عليه وسلم: ""كُلُّ سُلامَى مِنَ النَّاسِ عليه صَدَقَةٌ، كُلَّ يَومٍ تَطْلُعُ فيه الشَّمْسُ، تَعْدِلُ بيْنَ الاثْنَيْنِ صَدَقَةٌ، وتُعِينُ الرَّجُلَ في دابَّتِهِ فَتَحْمِلُهُ عليها، أوْ تَرْفَعُ له عليها مَتاعَهُ صَدَقَةٌ، والْكَلِمَةُ الطَّيِّبَةُ صَدَقَةٌ، وكُلُّ خُطْوَةٍ تَمْشِيها إلى الصَّلاةِ صَدَقَةٌ، وتُمِيطُ الأذَى عَنِ الطَّرِيقِ صَدَقَةٌ.""

رواه البخاري ومسلم"
7,7,"عن أبي مسعودٍ عقبة بن عمرٍو الأنصاري البدري رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: 
""إنَّ ممَّا أدْرَكَ النَّاسُ مِن كَلامِ النُّبُوَّةِ الأُولَى: إذا لَمْ تَسْتَحْيِ فاصْنَعْ ما شِئْتَ.""
رواه البخاري"
7,8,"عن أبي هريرة -رضي الله عنه-، أنّ رسول الله صلى الله عليه وسلم قال:

""لأَنْ أَقُولَ: سُبْحَانَ اللهِ، وَالْحَمْدُ لِلَّهِ، وَلَا إِلَهَ إِلَّا اللَّهُ، وَاللَّهُ أَكْبَرُ؛ أَحَبُّ إِلَيَّ ممَّا طَلَعَتْ عليه الشَّمْسُ.""
رواه مسلم"
8,9,"عن أبي هريرة -رضي الله عنه- "" أنَّ رَجُلًا قالَ للنَّبيِّ صلَّى اللهُ عليه وسلَّم: أوْصِنِي، قالَ: لا تَغْضَبْ. فَرَدَّدَ مِرَارًا، قالَ: لا تَغْضَبْ.""
رواه البخاري"
9,10,"عن أبي عبدالله النعمان بن بشيرٍ - رضي الله عنهما - قال: سمعتُ رسول الله صلى الله عليه وسلم يقول: ""إنَّ الحلال بيِّنٌ، وإنَّ الحرام بيِّنٌ، وبينهما أمور مُشتبهات لا يعلمهنَّ كثيرٌ من الناس، فمَن اتَّقى الشُّبهات فقد استبرأ لدينه وعرضه، ومَن وقع في الشُّبهات وقع في الحرام، كالراعي يرعى حول الحمى، يُوشك أن يرتع فيه، ألا وإنَّ لكل ملكٍ حمى، ألا وإنَّ حمى الله محارمه، ألا وإنَّ في الجسد مُضغة إذا صلحت صلح الجسدُ كله، وإذا فسدت فسد الجسدُ كله، ألا وهي القلب.""
رواه البخاري ومسلم"
10,11,"عن النواس بن سمعان رضي الله عنه، عن النبي صلى الله عليه وسلم قال: ""البِرُّ حُسْنُ الخُلُقِ، وَالإِثْمُ ما حَاكَ في صَدْرِكَ، وَكَرِهْتَ أَنْ يَطَّلِعَ عليه النَّاسُ.""
رواه مسلم."
11,12,"عن عبدالله بن عمر -رضي الله عنهما- قال: ""أخَذَ رَسولُ اللَّهِ صلى الله عليه وسلم بمَنْكِبِي، فَقالَ: كُنْ في الدُّنْيا كَأنَّكَ غَرِيبٌ أوْ عابِرُ سَبِيلٍ.
وكانَ ابنُ عُمَرَ يقولُ: إذا أمْسَيْتَ فلا تَنْتَظِرِ الصَّباحَ، وإذا أصْبَحْتَ فلا تَنْتَظِرِ المَساءَ، وخُذْ مِن صِحَّتِكَ لِمَرَضِكَ، ومِنْ حَياتِكَ لِمَوْتِكَ.
 رواه البخاري."
12,13,"عن عثمان بن عفان -رضي الله عنه- قال: قال النبي -صلى الله عليه وسلم-:""مَن تَوَضَّأَ فأحْسَنَ الوُضُوءَ خَرَجَتْ خَطاياهُ مِن جَسَدِهِ، حتّى تَخْرُجَ مِن تَحْتِ أَظْفارِهِ.
 رواه مسلم."
13,14,"عن عبدالله بن عباس -رضي الله عنهما- قال: كنت خلف النبي -صلى الله عليه وسلم- يوماً، فقال: ""يا غُلامُ إنِّي أعلِّمُكَ كلِماتٍ، احفَظِ اللَّهَ يحفَظكَ، احفَظِ اللَّهَ تَجِدْهُ تجاهَكَ، إذا سأَلتَ فاسألِ اللَّهَ، وإذا استعَنتَ فاستَعِن باللَّهِ، واعلَم أنَّ الأمَّةَ لو اجتَمعت على أن ينفَعوكَ بشَيءٍ لم يَنفعوكَ إلّا بشيءٍ قد كتبَهُ اللَّهُ لَكَ، ولو اجتَمَعوا على أن يضرُّوكَ بشَيءٍ لم يَضرُّوكَ إلّا بشيءٍ قد كتبَهُ اللَّهُ عليكَ، رُفِعَتِ الأقلامُ وجفَّتِ الصُّحفُ.
رواه الترمذي.

وفي رواية أخرى:
""احفَظِ اللهَ تَجدْهُ أمامَكَ، تَعرَّفْ إلى اللهِ في الرَّخاءِ يَعرِفْكَ في الشِّدَّةِ، واعلَمْ أنَّ ما أخْطأَكَ لم يكنْ ليُصيبَكَ، وما أصابكَ لم يكنْ لِيُخْطِئَكَ، واعلَمْ أنَّ النصرَ مع الصبرِ، وأنَّ الفَرَجَ مع الكرْبِ، وأنَّ مع العُسرِ يُسرًا""."
14,15,"عن أبي هريرة -رضي الله عنه- قال: ""ما عاب رسولُ اللهِ صلّى اللهُ عليه وسلَّم طعامًا قَطُّ؛ إنِ اشتهاه أكَلَه، وإن كَرِهَه تَرَكه""."
15,16,"عن أبي هريرة -رضي الله عنه- أنَّ رسول الله -صلى الله عليه وسلم- قال: ""كُلُّ أُمَّتي يَدْخُلُونَ الجَنَّةَ إِلّا مَن أَبى، قالوا: يا رَسُولَ اللَّهِ، وَمَن يَأْبى؟ قالَ: مَن أَطاعَنِي دَخَلَ الجَنَّةَ، وَمَن عَصانِي فقَدْ أَبى"".
 رواه البخاري."
