time_to_publish,ramadan_day_id,title,link,question,category	
16:00,1, الصّوم، بوّابة الغفران,https://youtube.com/embed/eSc3qQez42A?si=e7iKkHAfm9-P7RVI,للصائم فرحتان، اذكرهما.,التثقيف بالفيديو
16:00,3,سنن رمضان ,https://youtube.com/embed/5k6-gSGRbWA?si=0jduR_FCw2MIbVZE,ماهي أفضل الصّدقة في شهر رمضان؟,التثقيف بالفيديو
16:00,5,الصلاة، وترك الشهوات,https://youtube.com/embed/VWcsWH9pt5c,ما الذي يترتب عن الخلل في إقامة الصلاة؟ مُستدلًّا على ذلك بآية وردت في المقطع.,التثقيف بالفيديو
16:00,7,السنن الرواتب ,https://youtube.com/embed/5HCEjmveJSU?si=Jcm5Ck2Qe2GD3lPj,ما هي السُنن الرّواتب؟ وما هو أجرها؟,التثقيف بالفيديو
16:00,9,تدبر القرآن ,https://youtube.com/embed/hC0neqJwJZo?si=ohC53poSmN3EiW5b,عابَ الله -عز وجل- على من لا يتدبرّ القرآن. اذكر دليلَ ذلك من المقطع.,التثقيف بالفيديو
15:00,11,الصّدقة، في شهر الجود,https://youtube.com/embed/BBDy1ML5hYg?si=X4jf9FJKkcNl91jh,على ماذا تدلّ الصّدقة؟,التثقيف بالفيديو
15:00,13, خُذ من إقبالك لإدبارك,https://youtube.com/embed/UnBp5_poPj8?si=2ygQ-t5e59Vo4WQk,ماذا يجب أن يفعل المرء في حالتيْ الإقبالِ والإدبار؟,التثقيف بالفيديو
15:00,15, العلاقات في رمضان,https://youtube.com/embed/6cLyUBL8tzk?feature=shared,ذكر المُحاضر، أنه يرى أنّ العلاقات الاجتماعية بدأتْ تفقد بريقهَا. بماذا علّل سبب ذلك؟,التثقيف بالفيديو
15:00,17, صوم اللسان,https://youtube.com/embed/2jD2P3LPI6o?si=UBvVZWfuyvoZ2tL,ما هو الصّمت المطلوب منّا خلال صيامنا؟,التثقيف بالفيديو
15:00,19, ليلة القدر,https://www.youtube.com/watch?v=gVfQRbNoiv8,لماذا أخفى الله -عز وجل- عنّا ليلة القدر؟ واذكرْ الحديثَ الدّالَّ على فضلِ وأجرِ قيام هذه الليلة.,التثقيف بالفيديو
17:00,21,قيام الليل,https://youtube.com/embed/9yjyx0VbqKo?si=gWGUHrvafnrmebfi,ما هي أفضل الصلاة بعد صلاة الفريضة؟ اذكر الحديث الدّال على ذلك.,التثقيف بالفيديو
17:00,23,ذكر الله,https://youtube.com/embed/DpIbIUO7eHo?si=VmkCTDekPaCu4r0t,على ماذا تدلّ كثرة ذكرِ الله؟,التثقيف بالفيديو
17:00,25, حُسن الخلق,https://youtube.com/embed/EtC-uilgjgE?si=mvC0V0SnD9dBTyhd,ما الطاعات الثلاث -الواردة في المقطع- التي يكون أصلها خلق العفة؟,التثقيف بالفيديو
17:00,27,معرفة الله، جنّة الدّنيا والآخرة,https://youtube.com/embed/htCH2f5T9w8?si=XzV8eEqxLRcSGMnW,ما سرُّ شقاء الإنسان؟,التثقيف بالفيديو
17:00,29,الثبات على الطاعة، بعد رمضان.,https://youtube.com/embed/NdBdaAi7yyU,كيف للمسلم أن يُعوِّدَ نفسه على الطّاعات؟,التثقيف بالفيديو
17:00,1,الأول ,null,آية كريمةٌ استدلّ بها العلماء على أنه لا يجوز تمكين الكفار من دخول المساجد. وبيّنت لنا أنه لا أحد أظلم وأشدّ جُرمًا ممّن منع مساجد الله عن ذِكر الله فيها، وإقامة الصلاة وغيرها من الطاعات. ما هي هذه الآية؟ ,تفسير
17:00,2,الثاني,null,"آية من القرآن الكريم دليل على أن إجماع هذه الأمة حجة قاطعة وأنهم معصومون من الخطأ، لإطلاق قوله -وسطًا-.

فلو قُدّر اتفاقهم على الخطأ، لم يكونوا وسطًا إلا في بعض الأمور. ما هي؟",تفسير
17:00,3,الثالث ,null,ما هي الآية التي يخبر الله فيها عن أكلة الرّبا، وسوءِ مآلهم وشدّة منقلبهم، وأنهم لا يقومون من قبورهم يوم نشورهم إلا كما يقوم الذي يصرعه الشيطان بالجنون، فيقومون حيارى سكارى مضطربين، متوقعين لعظيم النكال وعسر الوبال؟,تفسير
17:00,4,الرابع,null,"آية فيها أمر من الله تعالى لعباده المؤمنين أن يتقوه حق تقواه، وأن يستمروا على ذلك ويثبتوا عليه ويستقيموا إلى الممات، فإن من عاش على شيئ مات عليه.
 ثم أمرهم بما يعينهم على التقوى وهو الاجتماع والاعتصام بدين الله على طاعة الله مؤتلفين غير مختلفين فإن هذا ما يصلح به دينهم ويصلح دنياهم. اذكرها.",تفسير
17:00,5,الخامس ,null,آيةٌ بيّن الله تعالى فيها حكمه الشرعيّ عند حضور مجالس الكفر والمعاصي. ما هي هذه الآية؟,تفسير
17:00,6,السادس,null,"آية وعد الله فيها -وهو أصدق القائلين- المؤمنين به، وبكتبه، ورسله، واليوم الآخر، وعملوا صالحًا من واجبات ومستحبات بالمغفرة لذنوبهم، بالعفو عنها وعن عواقبها، وبالأجر العظيم الذي لا يعلم عظمه إلّا الله تعالى.

ما هي هذه الآية؟",تفسير
17:00,7,السابع,null,"المشركون بالله، المكذبون لرسوله يجمعون بين الضلال والإضلال، فهم ينهون الناس عن اتباع الحق، ويحذرونهم منه، ويبعدون بأنفسهم عنه، ولن يضروا الله ولا عباده المؤمنين بفعلهم هذا شيئًا.

ما الآية التي تحدثت عن هذه الصفة من صفات المشركين؟",تفسير
17:00,8,الثامن,null,هيأ الله لبني آدم الأرض بحيث يتمكنون من البناء عليها وحرثها، ومنحهم القدرة على الانتفاع بها، وقد امتنّ الله على عباده بهذه النعمة في كتابه فما الآية التي ذكرت ذلك؟,تفسير
17:00,9,التاسع,null,في أيّ آية من كتاب الله، أمرَ الله فيها المؤمنين أن يقوموا بمقتضى الإيمان الذي يدركون به معيته، وذلك بامتثال أوامره سبحانه وتعالى وأوامر النبي محمد صلى الله عليه وسلم واجتناب نهيهما؟,تفسير
17:00,10,العاشر,null,"يقول الله تعالى لعباده المؤمنين -بعدما أمرهم بالجهاد- أمْ حسبتم أن تُتركوا من دون ابتلاءٍ وامتحانٍ، وأمر بما يبين به بين الصادق والكاذب. فيعلم الذين يجاهدون في سبيله لإعلاء كلمته متخذين من الله ورسوله والمؤمنين -لا من الكافرين- أولياء.
ما الآية التي ذكرت ذلك؟",تفسير
16:00,11,الحادي عشر,null,"إنّ الذين جمعوا بين الإيمان، والقيام بموجبه ومقتضاه من الأعمال الصالحة، المشتملة على أعمال القلوب والجوارح، يثيبهم الله أعظم الثواب وهو الهداية.
ما الآية الدالة على ذلك؟",تفسير
